Date,DayOfWeek,Month,Year,Weekend,Holiday,ER_Seasonality,Emergency_Room_Cases,Scheduled_Surgeries,Trauma_Alert_Level,Blood_Type,New_Donations,Units_Used,Starting_Inventory,Ending_Inventory,Expiration_Loss,Days_Supply,Shortage_Flag,Units_Used_tomorrow
2023-01-01,6,1,2023,1,0,0.49999999999999994,51.0,1.0,3,A+,0.0,44.0,90.0,45.0,1,1.0,0,17.0
2023-01-01,6,1,2023,1,0,0.49999999999999994,51.0,1.0,3,A-,0.0,50.0,50.0,0.0,0,0.0,1,16.0
2023-01-01,6,1,2023,1,0,0.49999999999999994,51.0,1.0,3,AB+,0.0,48.0,40.0,0.0,0,0.0,1,15.0
2023-01-01,6,1,2023,1,0,0.49999999999999994,51.0,1.0,3,AB-,0.0,44.0,20.0,0.0,0,0.0,1,15.0
2023-01-01,6,1,2023,1,0,0.49999999999999994,51.0,1.0,3,B+,0.0,28.0,70.0,42.0,0,1.45,0,20.0
2023-01-01,6,1,2023,1,0,0.49999999999999994,51.0,1.0,3,B-,1.0,33.0,30.0,0.0,0,,1,13.0
2023-01-01,6,1,2023,1,0,0.49999999999999994,51.0,1.0,3,O+,2.0,32.0,100.0,69.0,1,2.09,0,27.0
2023-01-01,6,1,2023,1,0,0.49999999999999994,,1.0,3,O-,1.0,54.0,60.0,7.0,0,0.13,1,22.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,A+,0.0,17.0,45.0,28.0,0,1.56,1,44.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,A-,0.0,16.0,0.0,0.0,0,0.0,1,47.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,AB+,1.0,15.0,0.0,0.0,0,0.0,1,49.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,AB-,0.0,15.0,0.0,0.0,0,0.0,1,39.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,B+,1.0,20.0,,23.0,0,1.1,1,34.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,B-,0.0,13.0,0.0,0.0,0,0.0,1,35.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,O+,4.0,27.0,69.0,45.0,1,1.61,1,38.0
2023-01-02,0,1,2023,0,1,0.49999999999999994,73.0,0.0,0,O-,1.0,22.0,7.0,0.0,0,,1,48.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,48.0,28.0,2,A+,0.0,44.0,28.0,0.0,0,0.0,1,18.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,,28.0,2,A-,1.0,47.0,0.0,0.0,0,0.0,1,22.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,48.0,28.0,2,AB+,1.0,49.0,0.0,0.0,0,0.0,1,21.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,48.0,28.0,2,AB-,1.0,39.0,0.0,0.0,0,0.0,1,17.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,48.0,28.0,2,B+,3.0,34.0,23.0,0.0,0,0.0,1,24.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,48.0,28.0,2,B-,4.0,35.0,0.0,0.0,0,0.0,1,20.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,48.0,28.0,2,O+,11.0,38.0,45.0,18.0,0,0.46,1,22.0
2023-01-03,1,1,2023,0,0,0.49999999999999994,48.0,28.0,2,O-,2.0,48.0,0.0,0.0,0,0.0,1,19.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,A+,1.0,18.0,0.0,0.0,0,0.0,1,18.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,A-,2.0,22.0,0.0,0.0,0,0.0,1,21.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,AB+,3.0,21.0,0.0,0.0,0,0.0,1,15.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,AB-,1.0,17.0,0.0,0.0,0,0.0,1,17.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,B+,1.0,24.0,0.0,0.0,0,0.0,1,17.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,B-,1.0,20.0,0.0,0.0,0,0.0,1,13.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,O+,7.0,22.0,,3.0,0,0.13,1,20.0
2023-01-04,2,1,2023,0,0,0.49999999999999994,34.0,33.0,0,O-,3.0,19.0,0.0,0.0,0,0.0,1,23.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,29.0,0,A+,,18.0,0.0,0.0,0,0.0,1,20.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,29.0,0,A-,3.0,21.0,0.0,0.0,0,0.0,1,18.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,29.0,0,AB+,4.0,15.0,0.0,0.0,0,0.0,1,20.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,,0,AB-,3.0,17.0,0.0,0.0,0,0.0,1,19.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,29.0,0,B+,0.0,,0.0,0.0,0,0.0,1,22.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,29.0,0,B-,1.0,13.0,,0.0,0,0.0,1,22.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,29.0,0,O+,6.0,20.0,3.0,0.0,0,0.0,1,29.0
2023-01-05,3,1,2023,0,0,0.49999999999999994,30.0,29.0,0,O-,,23.0,0.0,0.0,0,,1,29.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,A+,,20.0,0.0,0.0,0,0.0,1,11.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,A-,3.0,18.0,0.0,0.0,0,0.0,1,16.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,AB+,4.0,20.0,0.0,0.0,0,0.0,1,16.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,AB-,1.0,19.0,0.0,0.0,0,0.0,1,15.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,B+,1.0,22.0,0.0,0.0,0,0.0,1,15.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,B-,6.0,22.0,0.0,0.0,0,0.0,1,9.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,O+,8.0,29.0,0.0,0.0,0,0.0,1,14.0
2023-01-06,4,1,2023,0,0,0.49999999999999994,27.0,32.0,0,O-,3.0,29.0,0.0,0.0,0,0.0,1,20.0
2023-01-07,5,1,2023,1,0,0.49999999999999994,68.0,1.0,0,A+,0.0,11.0,0.0,0.0,0,0.0,1,12.0
2023-01-07,5,1,2023,1,0,0.49999999999999994,68.0,1.0,0,A-,0.0,16.0,0.0,0.0,0,0.0,1,13.0
2023-01-07,5,1,2023,1,0,0.49999999999999994,68.0,1.0,0,AB+,0.0,16.0,0.0,,0,0.0,1,13.0
2023-01-07,5,1,2023,1,0,0.49999999999999994,68.0,1.0,0,AB-,0.0,15.0,0.0,0.0,0,0.0,1,16.0
