Date,DayOfWeek,Month,Weekend,Holiday,Emergency_Room_Cases,Scheduled_Surgeries,Trauma_Alert_Level,Blood_Type,New_Donations,Units_Used,Starting_Inventory,Ending_Inventory,Days_Supply,Shortage_Flag,Units_Used_tomorrow
2020-01-01,2,1,0,0,37.0,15.0,0,A+,5.0,12.0,90.0,83.0,6.384615384615385,0,17.0
2020-01-01,2,1,0,0,37.0,15.0,0,A-,7.0,11.0,50.0,46.0,3.8333333333333335,0,16.0
2020-01-01,2,1,0,0,37.0,15.0,0,AB+,6.0,17.0,40.0,29.0,1.6111111111111112,0,13.0
2020-01-01,2,1,0,0,37.0,,0,AB-,7.0,12.0,20.0,15.0,1.1538461538461537,0,13.0
2020-01-01,2,1,0,0,37.0,15.0,0,B+,8.0,15.0,70.0,63.0,3.9375,0,10.0
2020-01-01,2,1,0,0,37.0,15.0,0,B-,7.0,14.0,30.0,23.0,1.5333333333333334,0,16.0
2020-01-01,2,1,0,0,37.0,15.0,0,O+,1.0,31.0,100.0,70.0,2.1875,0,18.0
2020-01-01,2,1,0,0,37.0,15.0,0,O-,6.0,14.0,60.0,52.0,3.466666666666667,0,15.0
2020-01-02,3,1,0,0,21.0,27.0,0,A+,3.0,17.0,83.0,69.0,3.8333333333333335,0,15.0
2020-01-02,3,1,0,0,21.0,,0,A-,3.0,16.0,46.0,33.0,1.9411764705882353,0,16.0
2020-01-02,3,1,0,0,21.0,27.0,0,AB+,4.0,13.0,29.0,20.0,1.4285714285714286,0,14.0
2020-01-02,3,1,0,0,21.0,27.0,0,AB-,4.0,13.0,15.0,6.0,0.42857142857142855,1,19.0
2020-01-02,3,1,0,0,21.0,27.0,0,B+,5.0,10.0,63.0,58.0,5.2727272727272725,0,17.0
2020-01-02,3,1,0,0,21.0,27.0,0,B-,7.0,16.0,23.0,14.0,0.8235294117647058,1,19.0
2020-01-02,3,1,0,0,21.0,27.0,0,O+,7.0,18.0,70.0,59.0,3.1052631578947367,0,18.0
2020-01-02,3,1,0,0,21.0,27.0,0,O-,5.0,15.0,52.0,42.0,2.625,0,20.0
2020-01-03,4,1,0,0,41.0,28.0,0,A+,5.0,15.0,69.0,59.0,,0,12.0
2020-01-03,4,1,0,0,41.0,28.0,0,A-,4.0,16.0,33.0,21.0,1.2352941176470589,1,14.0
2020-01-03,4,1,0,0,41.0,28.0,0,AB+,3.0,,20.0,9.0,0.6,1,18.0
2020-01-03,4,1,0,0,41.0,28.0,0,AB-,7.0,19.0,6.0,0.0,0.0,1,11.0
2020-01-03,4,1,0,0,41.0,28.0,0,B+,7.0,17.0,58.0,48.0,2.6666666666666665,0,17.0
2020-01-03,4,1,0,0,41.0,28.0,0,B-,6.0,19.0,14.0,1.0,0.05,1,14.0
2020-01-03,4,1,0,0,41.0,28.0,0,O+,5.0,18.0,59.0,46.0,2.4210526315789473,1,14.0
2020-01-03,4,1,0,0,41.0,28.0,0,O-,4.0,20.0,42.0,26.0,1.2380952380952381,1,17.0
2020-01-04,5,1,1,0,54.0,0.0,1,A+,1.0,12.0,59.0,48.0,3.6923076923076925,0,11.0
2020-01-04,5,1,1,0,54.0,0.0,1,A-,5.0,14.0,21.0,12.0,0.8,1,9.0
2020-01-04,5,1,1,0,54.0,0.0,1,AB+,7.0,18.0,9.0,0.0,0.0,1,13.0
2020-01-04,5,1,1,0,54.0,0.0,1,AB-,4.0,11.0,0.0,0.0,0.0,1,10.0
2020-01-04,5,1,1,0,54.0,0.0,1,B+,7.0,17.0,48.0,38.0,2.111111111111111,0,15.0
2020-01-04,5,1,1,0,54.0,0.0,1,B-,3.0,14.0,1.0,0.0,0.0,1,17.0
